"indicator","subtopic","short.description","population","year","group","female","female.low.CI","female.high.CI","male","male.low.CI","male.high.CI","total","total.low.CI","total.high.CI","estimated.number","estimated.number.low.CI","estimated.number.high.CI"
"ind_1","Gambling participation","Any gambling activities","adults",2010,"Total",81.9,78,85.4,80.6,74.3,86,81.3,77.7,84.4,2798000,2674000,2907000
"ind_1","Gambling participation","Any gambling activities","adults",2010,"15-24",69.5,56.2,80.8,66,46.9,82,67.7,56.6,77.6,4e+05,334000,458000
"ind_1","Gambling participation","Any gambling activities","adults",2010,"25-44",80,72.9,85.9,80.6,66.6,90.6,80.3,73.2,86.1,940000,858000,1009000
"ind_1","Gambling participation","Any gambling activities","adults",2010,"45-64",86.7,81,91.3,88.2,79,94.4,87.5,82.1,91.7,990000,929000,1038000
"ind_1","Gambling participation","Any gambling activities","adults",2010,"65+",88.8,81.1,94.2,81.2,70.9,89,85.3,79.3,90,468000,436000,494000
"ind_1","Gambling participation","Any gambling activities","adults",2010,"Maori",78.9,69.4,86.6,81.1,71.7,88.4,79.9,73.6,85.3,349000,322000,373000
"ind_1","Gambling participation","Any gambling activities","adults",2010,"Pacific",69.7,58.2,79.6,74.3,61.5,84.7,71.9,63.8,79.1,140000,124000,153000
"ind_1","Gambling participation","Any gambling activities","adults",2010,"Asian",53.1,34.7,71,78,45.7,95.9,65.1,48.7,79.3,236000,177000,288000
"ind_1","Gambling participation","Any gambling activities","adults",2010,"European/Other",87.6,83.6,90.9,82.6,75.4,88.5,85.2,81.2,88.6,2297000,2190000,2389000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"Least (1-3)",73.2,65.4,80.1,70.1,62.7,76.8,71.7,66.5,76.4,680000,631000,725000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"Mid (4-7)",73.4,67.3,78.9,66.8,60.7,72.4,70.3,65.8,74.4,1053000,986000,1115000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"Most (8-10)",67.6,60.6,74,67,58.1,75.1,67.3,60.9,73.2,707000,640000,770000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"Total",71.6,67.8,75.2,67.8,63.7,71.6,69.7,66.9,72.5,2440000,2340000,2535000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"15-24",56.7,44.1,68.7,44.7,31.4,58.5,50.6,40.3,60.8,315000,251000,378000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"25-44",74,69.2,78.5,69,61.7,75.7,71.6,67.5,75.5,820000,772000,864000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"45-64",74.6,68.1,80.4,79.8,74.5,84.5,77.1,72.7,81,854000,806000,898000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"65+",75.7,68.8,81.7,69,61.1,76.2,72.4,67,77.4,451000,417000,482000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"Maori",75.3,68.6,81.1,72.8,64.8,79.9,74.1,69.1,78.7,335000,312000,356000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"Pacific",68,54.6,79.5,65.5,56.5,73.7,66.8,59,73.9,138000,122000,153000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"Asian",56.2,42,69.7,49.5,33.9,65.2,53.1,42.7,63.2,211000,170000,251000
"ind_1","Gambling participation","Any gambling activities","adults",2012,"European/Other",73.9,69.7,77.8,67.9,63.3,72.3,71.1,67.8,74.2,2024000,1929000,2113000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"Least (1-3)",75.8,67.5,82.9,76.3,68.3,83.1,76,70,81.4,870000,801000,931000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"Mid (4-7)",67.7,61.5,73.4,69.3,61.6,76.2,68.5,63.1,73.5,1065000,981000,1144000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"Most (8-10)",67,60.9,72.7,63.9,55.4,71.8,65.6,59.9,70.9,579000,530000,626000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"Total",70.1,66.2,73.8,70.3,65.9,74.5,70.2,67,73.2,2528000,2413000,2635000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"15-24",53.1,39,66.8,51.7,38,65.3,52.4,42.1,62.5,338000,272000,404000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"25-44",72.2,66.9,77.1,72.2,65.2,78.4,72.2,67.9,76.2,838000,789000,885000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"45-64",76.9,70.4,82.5,76.3,69.3,82.4,76.6,72.1,80.7,837000,788000,882000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"65+",70.6,61.1,78.9,76.5,68.9,83,73.3,67,79,513000,469000,553000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"Maori",75.3,67.5,82,71.5,61.5,80.2,73.5,67.3,79.1,346000,317000,372000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"Pacific",64.7,55.9,72.8,59.9,48.2,70.8,62.3,55.4,68.8,140000,125000,154000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"Asian",53.1,37,68.7,53.3,38.8,67.4,53.2,40.9,65.2,245000,189000,301000
"ind_1","Gambling participation","Any gambling activities","adults",2014,"European/Other",74.2,69.7,78.4,73.7,68.5,78.4,74,70.3,77.4,2029000,1927000,2123000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"Least (1-3)",68.9,63,74.4,76.3,70,81.8,72.4,67.8,76.8,843000,789000,893000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"Mid (4-7)",70,64.8,74.8,71,65.7,75.8,70.5,66.6,74.1,1155000,1092000,1214000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"Most (8-10)",65.2,59.5,70.7,68.9,62.3,74.9,67.1,62.5,71.5,651000,606000,694000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"Total",68.5,65.5,71.4,72,68.8,75.1,70.2,67.9,72.4,2649000,2562000,2732000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"15-24",44,34.1,54.3,61.1,51.2,70.4,52.9,45.7,60,354000,306000,402000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"25-44",70.7,65.7,75.4,69,62.1,75.3,69.9,65.4,74,854000,8e+05,905000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"45-64",79.5,75.3,83.3,79.2,73.8,84,79.4,76.1,82.4,950000,911000,986000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"65+",66.8,60.7,72.5,76.8,70.7,82.2,71.7,67.5,75.7,490000,462000,517000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"Maori",72.5,66.4,78.1,73.7,64.7,81.4,73.1,67.9,77.7,363000,337000,386000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"Pacific",57.3,49.1,65.1,65.6,56.6,73.9,61.6,55.2,67.7,156000,140000,172000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"Asian",48.3,39.1,57.6,57.6,47.4,67.3,52.8,45.9,59.7,290000,252000,328000
"ind_1","Gambling participation","Any gambling activities","adults",2016,"European/Other",72.9,69.6,76.1,75.2,71.4,78.8,74,71.4,76.5,2120000,2045000,2191000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Least (1-3)",67.1,58.9,74.6,68.8,58.9,77.6,67.9,62.2,73.3,858000,786000,926000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Mid (4-7)",67.9,62.2,73.3,68.9,61.1,76,68.4,63.2,73.2,1064000,984000,1139000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Most (8-10)",66.7,59.9,72.9,63.4,55.1,71.2,65.1,59.6,70.3,717000,656000,774000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Total",67.2,63.7,70.6,67.3,62.6,71.8,67.2,64.3,70,2650000,2534000,2760000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"15-24",45.8,36.9,54.8,45.1,29.1,61.9,45.4,36,55.1,305000,242000,371000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"25-44",67.3,61.3,73,70.4,62.3,77.6,68.8,64.5,72.9,894000,838000,948000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"45-64",74.5,69.4,79.2,72.1,64.8,78.7,73.4,69.2,77.3,876000,826000,923000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"65+",72.8,65.9,79,75.3,68,81.7,74,69.1,78.5,573000,535000,608000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Maori",70.8,63.1,77.7,67.6,56.5,77.5,69.3,62.2,75.7,358000,321000,391000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Pacific",60.1,50.4,69.2,60.8,49.9,71,60.4,53.1,67.4,159000,140000,177000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"Asian",36.8,27.4,47,46.3,31.6,61.6,41.4,32.8,50.5,251000,199000,307000
"ind_1","Gambling participation","Any gambling activities","adults",2018,"European/Other",73.3,69.2,77.2,72,66.9,76.8,72.7,69.3,76,2159000,2057000,2256000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2006,"Least (1-3)",14.6,9.4,21.3,19.2,12.5,27.5,16.8,12.3,22,177000,130000,233000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2006,"Mid (4-7)",15.8,11.4,21.1,21,15.6,27.3,18.3,14.5,22.7,249000,197000,309000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2006,"Most (8-10)",17.2,11.8,23.8,17.8,12.3,24.4,17.5,13.6,21.9,159000,124000,199000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2006,"Total",15.8,12.9,19,19.5,16.2,23.2,17.6,15.3,20.1,586000,511000,669000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2006,"15-24",7.4,2.2,17.4,5.2,1.4,12.9,6.3,2.8,12,38000,17000,73000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2006,"25-44",12.9,8.6,18.2,13.1,8.8,18.5,13,9.7,16.8,153000,115000,199000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2006,"45-64",22.8,16.7,29.8,29.4,22,37.8,25.9,21.2,31.2,271000,221000,325000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2006,"65+",17.7,11.2,25.9,32.7,21.4,45.6,24.9,18,32.8,123000,90000,163000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2006,"Maori",16.8,11.8,22.9,22.6,16.6,29.5,19.6,15.5,24.2,81000,64000,1e+05
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2006,"Pacific",7,3.3,12.7,10.3,5,18,8.5,5.6,12.3,14000,9000,21000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2006,"Asian",10.9,5.7,18.5,13,6.3,22.7,11.9,7.4,17.7,34000,21000,51000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2006,"European/Other",16.6,13.2,20.5,20,16.1,24.4,18.2,15.5,21.3,484000,411000,563000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2008,"Least (1-3)",16.6,11,23.5,14.6,8.8,22.3,15.7,11.8,20.2,164000,124000,212000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2008,"Mid (4-7)",15.6,10.7,21.5,15.6,10.5,22,15.6,11.9,19.9,212000,162000,270000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2008,"Most (8-10)",15.7,10.6,22.1,13.7,8.7,20.3,14.7,11.2,18.9,141000,107000,181000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2008,"Total",15.9,12.8,19.5,14.8,11.7,18.4,15.4,13.3,17.7,517000,447000,597000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2008,"15-24",4.9,0.4,18,4.6,0.7,14.4,4.7,1.3,11.8,29000,8000,73000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2008,"25-44",15.2,10.2,21.5,12.8,8.3,18.5,14.1,10.7,18,169000,128000,217000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2008,"45-64",20.5,14.6,27.5,21,14.4,28.8,20.7,16.3,25.7,218000,171000,270000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2008,"65+",21.3,13.6,30.8,19.2,9.9,32.1,20.4,14.2,27.9,102000,70000,139000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2008,"Maori",17.5,11.4,25.2,15.6,9.8,23.2,16.6,12.6,21.4,70000,53000,90000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2008,"Pacific",15,9.7,21.8,17.9,10.1,28.3,16.4,11.7,22,30000,21000,40000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2008,"Asian",9.3,0.8,32.5,3.2,0.3,12.6,6.4,1.2,18.4,21000,4000,59000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2008,"European/Other",16.6,13.1,20.7,15.5,11.8,19.8,16.1,13.5,18.9,430000,361000,507000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2010,"Least (1-3)",20.6,14.7,27.5,21.2,9.6,37.5,20.9,14.2,28.9,244000,166000,337000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2010,"Mid (4-7)",15.1,9.5,22.3,22.1,15.5,29.8,18.4,13.9,23.6,230000,174000,295000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2010,"Most (8-10)",15,10.8,20.1,17.6,12.2,24.1,16.2,13,19.9,166000,133000,204000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2010,"Total",16.8,13.8,20.3,20.5,15.1,26.7,18.6,15.6,22,640000,539000,756000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2010,"15-24",3.7,0.8,10.1,2.9,0.3,10.7,3.3,1.1,7.6,19000,6000,45000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2010,"25-44",11,6.3,17.5,12.6,7.4,19.7,11.8,8.2,16.2,138000,96000,190000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2010,"45-64",25.4,19.3,32.3,33.4,20.1,48.9,29.3,22,37.5,332000,249000,424000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2010,"65+",25.2,17.2,34.7,30.1,20.5,41.2,27.5,21.1,34.6,151000,116000,190000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2010,"Non-problem gambler",19.5,15.6,23.9,26.3,19.1,34.6,22.7,18.6,27.1,563000,463000,674000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2010,"Low-risk gambler",36,19.1,55.9,20.5,8.9,37.3,27.2,17.2,39.4,56000,35000,81000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2010,"Moderate-risk or problem gambler",21.2,9,38.7,17.6,5.6,37.5,19.1,10.1,31.3,21000,11000,34000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2010,"Maori",16.7,11.3,23.5,21,15.3,27.6,18.7,14.8,23.2,82000,65000,101000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2010,"Pacific",13.9,6.8,24.1,15.7,9.4,24,14.8,10,20.7,29000,19000,40000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2010,"Asian",1.9,0.4,5.6,26.9,1.4,77.9,14,1.4,44.5,51000,5000,161000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2010,"European/Other",18.6,14.7,22.9,19.7,15.3,24.7,19.1,16.2,22.3,515000,437000,601000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Least (1-3)",19.5,13.4,26.9,23.8,16.7,32.2,21.7,16.9,27.1,206000,160000,257000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Mid (4-7)",17.7,13.7,22.3,21.9,17.2,27.4,19.7,16.6,23.1,295000,248000,347000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Most (8-10)",15.6,11.9,19.9,22.3,16.8,28.5,18.8,15.5,22.4,198000,163000,236000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Total",17.5,15,20.3,22.6,19.4,26,20,18,22.1,698000,628000,774000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"15-24",5.9,2.6,11.3,5,2.2,9.7,5.5,3.1,8.8,34000,19000,55000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"25-44",14.1,10.5,18.4,19.6,13.7,26.6,16.7,13.3,20.6,191000,152000,236000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"45-64",24.1,19.2,29.7,31.3,25,38.1,27.5,23.4,31.8,304000,259000,353000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"65+",22.9,16.3,30.8,31.3,24.3,38.9,27.1,22.1,32.4,169000,138000,202000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Non-problem gambler",24.6,20.9,28.7,33.2,28.6,38.1,28.6,25.5,31.9,652000,581000,727000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Low-risk gambler",27.4,9.7,52.7,42.3,20.9,66.1,35.8,21.1,52.7,34000,20000,50000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Moderate-risk or problem gambler",NA,NA,NA,NA,NA,NA,26.5,11.7,46.5,12000,5000,21000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Maori",21.1,15.9,27.1,22.8,16.8,29.8,21.9,17.9,26.4,99000,81000,119000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Pacific",13.5,9.2,18.8,24.7,18.1,32.3,18.9,15,23.3,39000,31000,48000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"Asian",11.8,5.6,21.1,14.8,5.1,31,13.2,7.1,21.7,52000,28000,86000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2012,"European/Other",17.5,14.7,20.7,22,18.6,25.7,19.7,17.4,22,560000,496000,628000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Least (1-3)",11.2,7.3,16.2,22.4,14.1,32.5,16.7,12.3,21.8,191000,141000,250000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Mid (4-7)",14.3,11,18.2,18.2,13.5,23.7,16.2,13.2,19.6,253000,206000,305000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Most (8-10)",14.9,11,19.5,13.8,10.3,18.1,14.4,11.6,17.6,127000,103000,155000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Total",13.4,11.2,15.8,18.6,15.1,22.4,15.9,14,18,572000,503000,649000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"15-24",0.4,0.1,1.3,7,2.4,15.2,3.8,1.4,8.1,25000,9000,52000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"25-44",10,7.2,13.3,12,7.1,18.7,11,8.1,14.4,127000,95000,167000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"45-64",19.9,15.2,25.5,27.4,21,34.6,23.5,19.4,28.1,257000,212000,307000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"65+",19.9,14.3,26.5,27.1,20.7,34.4,23.3,19,28,163000,133000,196000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Non-problem gambler",19.1,15.9,22.6,26.4,21.5,31.8,22.6,19.8,25.6,531000,466000,602000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Low-risk gambler",24.7,9.5,46.6,33.7,12.1,61.9,29.6,16,46.6,32000,17000,50000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Moderate-risk or problem gambler",NA,NA,NA,NA,NA,NA,13.6,2.7,35.6,9000,2000,24000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Maori",11.9,7.6,17.4,19.5,12.4,28.4,15.5,11.5,20.2,73000,54000,95000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Pacific",10.1,5.5,16.6,12.3,7.3,19.2,11.2,7.6,15.8,25000,17000,35000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"Asian",4.3,1.6,9,11.1,4.9,20.6,7.6,4.2,12.4,35000,19000,57000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2014,"European/Other",15.2,12.5,18.2,20.2,16,24.9,17.6,15.2,20.3,483000,416000,556000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"Least (1-3)",13,9.6,17.1,11.1,8.3,14.4,12.1,9.8,14.7,141000,114000,171000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"Mid (4-7)",17.7,14.4,21.4,15.5,12.3,19.1,16.6,14.1,19.5,273000,231000,319000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"Most (8-10)",16.4,13.2,19.9,19.7,15.5,24.5,18.1,15.5,20.9,175000,150000,203000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"Total",15.9,14,18,15.3,13.4,17.3,15.6,14.2,17.1,589000,536000,646000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"15-24",2.1,0.5,5.7,0.3,0,1.5,1.2,0.3,2.9,8000,2000,19000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"25-44",11.1,8.2,14.6,10.7,7.8,14.1,10.9,8.9,13.2,133000,109000,161000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"45-64",22.5,18.5,26.8,21.5,17.5,25.8,22,19.1,25.1,263000,229000,3e+05
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"65+",25.3,19.8,31.4,28.7,22.5,35.4,27,22.6,31.7,184000,154000,217000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"Non-problem gambler",23.1,20.2,26.2,21.1,18.3,24.2,22.1,20,24.3,545000,492000,6e+05
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"Low-risk gambler",24.6,12.4,40.7,26.7,15.1,41.2,25.7,17.2,35.7,32000,22000,45000
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults",2016,"Moderate-risk or problem gambler",29.9,10.4,56.9,15.8,5,34,20.4,10.1,34.5,12000,6000,20000
