"indicator","subtopic","short.description","population","group","percent.06","percent.08","percent.10","percent.12","percent.14","percent.16","percent.18","p.value.18.06","p.value.18.08","p.value.18.10","p.value.18.12","p.value.18.14","p.value.18.16","p.value.16.06","p.value.16.08","p.value.16.10","p.value.16.12","p.value.16.14"
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Low-risk gambler",NA,NA,27.2,35.8,29.6,25.7,15.5,NA,NA,0.2,0,0.2,0.2,NA,NA,NA,NA,NA
"ind_10","Gambling participation frequency","Non-continuous forms of gambling - at least weekly","adults","Moderate-risk or problem gambler",NA,NA,19.1,26.5,13.6,20.4,16,NA,NA,0.8,0.4,0.8,0.7,NA,NA,NA,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","Total",NA,NA,NA,NA,NA,36.3,40.5,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","Men",NA,NA,NA,NA,NA,34.6,42.7,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","Women",NA,NA,NA,NA,NA,37.8,38.5,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","15-24",NA,NA,NA,NA,NA,35.1,30.9,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","25-44",NA,NA,NA,NA,NA,42.8,46.1,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","45-64",NA,NA,NA,NA,NA,33.5,46.3,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","65+",NA,NA,NA,NA,NA,23.3,34.1,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","Least (1-3)",NA,NA,NA,NA,NA,31.5,38.4,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","Mid (4-7)",NA,NA,NA,NA,NA,34.2,48.8,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"ind_100","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – not very well","adult Maori","Most (8-10)",NA,NA,NA,NA,NA,40.4,36.1,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","Total",NA,NA,NA,NA,NA,37.3,31,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","Men",NA,NA,NA,NA,NA,41,30.5,NA,NA,NA,NA,NA,0.1,NA,NA,NA,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","Women",NA,NA,NA,NA,NA,34,31.5,NA,NA,NA,NA,NA,0.6,NA,NA,NA,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","15-24",NA,NA,NA,NA,NA,36.9,29.3,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","25-44",NA,NA,NA,NA,NA,31.7,29,NA,NA,NA,NA,NA,0.7,NA,NA,NA,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","45-64",NA,NA,NA,NA,NA,43.2,30,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","65+",NA,NA,NA,NA,NA,41.5,43.3,NA,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","Least (1-3)",NA,NA,NA,NA,NA,54.8,44.2,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","Mid (4-7)",NA,NA,NA,NA,NA,35.1,27.1,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA
"ind_101","Te reo Maori","Ability to speak te reo Maori in day-to-day conversation – just a few words/phrases","adult Maori","Most (8-10)",NA,NA,NA,NA,NA,31.5,28,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Total",11,10.8,16.1,14.2,17.4,14.3,12.3,0.4,0.3,0,0.2,0,0.1,NA,NA,NA,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Men",13.2,12.8,18.8,15.1,19.2,16.2,12.4,0.7,0.9,0,0.3,0,0.1,NA,NA,NA,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Women",9,9,13.6,13.4,15.6,12.5,12.1,0,0,0.4,0.5,0,0.8,NA,NA,NA,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","15-24",12.2,9,11.1,12.2,12.6,10.1,9,0.5,1,0.7,0.5,0.5,0.8,NA,NA,NA,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","25-44",13.1,12.6,18.8,15.8,22,16.9,13.4,0.9,0.7,0.1,0.3,0,0.2,NA,NA,NA,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","45-64",11.1,10.2,18.3,13.8,18,16.5,13.4,0.4,0.2,0.1,0.9,0.1,0.2,NA,NA,NA,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","65+",4.6,10,11,14,13.1,9.7,11.5,0,0.7,0.9,0.4,0.5,0.4,NA,NA,NA,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Maori",19.9,11.7,22.9,15.6,20.1,15.6,16.1,0.3,0.1,0.1,0.9,0.2,0.9,NA,NA,NA,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Pacific",12.1,7.7,13.8,9,16.5,10.3,8.7,0.3,0.7,0.1,0.9,0.1,0.5,NA,NA,NA,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Asian",9.2,0.9,5.8,9.8,5.9,5.8,2.2,0,0.5,0.3,0,0.2,0.2,NA,NA,NA,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","European/Other",10.1,12,17.5,14.8,19.6,16.2,14.1,0,0.3,0.1,0.7,0,0.2,NA,NA,NA,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Least (1-3)",9.6,10.5,13.5,13.9,18.7,15.6,10.6,0.6,0.9,0.4,0.3,0,0,NA,NA,NA,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Mid (4-7)",11.7,10.5,19.9,14,19.3,14.7,12.4,0.8,0.5,0,0.6,0,0.3,NA,NA,NA,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Most (8-10)",11.7,11.7,14.5,14.7,12.5,11.9,14.2,0.3,0.4,0.9,0.8,0.5,0.3,NA,NA,NA,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Non-problem gambler",NA,NA,17.2,18.6,23,18.3,16.4,NA,NA,0.7,0.3,0,0.3,NA,NA,NA,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Low-risk gambler",NA,NA,31.8,57.1,48.4,37.6,26.7,NA,NA,0.6,0,0.1,0.3,NA,NA,NA,NA,NA
"ind_11","Gambling participation frequency","Four or more activities","adults","Moderate-risk or problem gambler",NA,NA,58,40.3,50.4,68.6,60.6,NA,NA,0.9,0.3,0.6,0.6,NA,NA,NA,NA,NA
"ind_12","Gambling participation frequency","Average number of activities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","Total",NA,NA,72.2,65.2,65.4,65.3,61.7,NA,NA,0,0.1,0.1,0.1,NA,NA,NA,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","Men",NA,NA,69.9,62.6,64.3,66.3,59.2,NA,NA,0,0.3,0.1,0,NA,NA,NA,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","Women",NA,NA,74.3,67.6,66.4,64.5,64.1,NA,NA,0,0.2,0.4,0.9,NA,NA,NA,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","15-24",NA,NA,62.2,44.6,48,49,36.9,NA,NA,0,0.2,0.1,0,NA,NA,NA,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","25-44",NA,NA,71.2,65.3,66.4,64.8,61.6,NA,NA,0,0.2,0.1,0.3,NA,NA,NA,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","45-64",NA,NA,75.2,73.7,71.2,73.3,70.3,NA,NA,0.2,0.3,0.8,0.3,NA,NA,NA,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","65+",NA,NA,78.9,70.1,70.6,68.4,70.3,NA,NA,0,1,0.9,0.6,NA,NA,NA,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","Maori",NA,NA,61.7,66.4,65.6,63.2,58.9,NA,NA,0.6,0.1,0.1,0.3,NA,NA,NA,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","Pacific",NA,NA,57.7,57.9,53.7,52,53.9,NA,NA,0.5,0.4,1,0.7,NA,NA,NA,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","Asian",NA,NA,54.5,48.9,46.5,47.4,36.5,NA,NA,0,0.1,0.1,0,NA,NA,NA,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","European/Other",NA,NA,77.7,67.1,70.2,69.8,67.4,NA,NA,0,0.9,0.3,0.3,NA,NA,NA,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","Least (1-3)",NA,NA,73.6,70.1,72.6,69.4,63.5,NA,NA,0,0.1,0,0.1,NA,NA,NA,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","Mid (4-7)",NA,NA,77.8,65.6,63.9,64.9,63.3,NA,NA,0,0.5,0.9,0.7,NA,NA,NA,NA,NA
"ind_13","Gambling harm","Gamblers (PGSI) - non-problem","adults","Most (8-10)",NA,NA,63.6,60.1,58.7,61.2,57.5,NA,NA,0.1,0.5,0.8,0.3,NA,NA,NA,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","Total",NA,NA,6,2.7,3,3.3,3.6,NA,NA,0,0.3,0.5,0.7,NA,NA,NA,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","Men",NA,NA,7,3.1,3.4,3.7,5.1,NA,NA,0.3,0.2,0.3,0.4,NA,NA,NA,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","Women",NA,NA,5,2.3,2.6,3,2.2,NA,NA,0,0.9,0.6,0.2,NA,NA,NA,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","15-24",NA,NA,2.2,3.3,3.1,2.3,5.4,NA,NA,0.3,0.5,0.5,0.3,NA,NA,NA,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","25-44",NA,NA,5.6,3.5,2.8,3.5,5.1,NA,NA,0.8,0.4,0.2,0.4,NA,NA,NA,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","45-64",NA,NA,8.9,2.3,3.5,4.2,1.1,NA,NA,0,0.1,0,0,NA,NA,NA,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","65+",NA,NA,4.9,1.4,2.4,2.5,3.4,NA,NA,0.4,0.1,0.4,0.5,NA,NA,NA,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","Maori",NA,NA,9.1,4.7,5.7,5.3,4.5,NA,NA,0,0.9,0.5,0.7,NA,NA,NA,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","Pacific",NA,NA,7.8,3.3,4.2,7.3,3,NA,NA,0.1,0.9,0.6,0,NA,NA,NA,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","Asian",NA,NA,2.1,2.4,3.3,3.2,3.8,NA,NA,0.6,0.6,0.9,0.8,NA,NA,NA,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","European/Other",NA,NA,5.9,2.4,2.4,3.1,3.9,NA,NA,0.2,0.2,0.2,0.4,NA,NA,NA,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","Least (1-3)",NA,NA,3.7,1,3.3,2.8,3.7,NA,NA,1,0.2,0.9,0.7,NA,NA,NA,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","Mid (4-7)",NA,NA,6,2.5,2.7,3.5,2.7,NA,NA,0.1,0.9,1,0.5,NA,NA,NA,NA,NA
"ind_14","Gambling harm","Gamblers (PGSI) - low risk","adults","Most (8-10)",NA,NA,8.6,4.5,3.1,3.8,4.9,NA,NA,0.1,0.8,0.2,0.4,NA,NA,NA,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","Total",NA,NA,3.1,1.3,1.8,1.5,1.9,NA,NA,0.1,0.3,0.9,0.5,NA,NA,NA,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","Men",NA,NA,3.8,1.6,2.7,2.1,3,NA,NA,0.6,0.2,0.8,0.5,NA,NA,NA,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","Women",NA,NA,2.6,1,1,1,0.9,NA,NA,0,0.8,0.8,0.9,NA,NA,NA,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","15-24",NA,NA,3.4,1.5,1.2,1.6,3.2,NA,NA,0.9,0.6,0.6,0.6,NA,NA,NA,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","25-44",NA,NA,3.5,2,3,1.5,2.2,NA,NA,0.4,0.8,0.5,0.4,NA,NA,NA,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","45-64",NA,NA,3.4,0.8,2,1.9,2,NA,NA,0.2,0.1,1,0.9,NA,NA,NA,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","65+",NA,NA,1.5,0.8,0.3,0.8,0.3,NA,NA,0.1,0.3,0.9,0.4,NA,NA,NA,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","Maori",NA,NA,9.1,2.1,2.2,4.6,5.9,NA,NA,0.2,0.1,0.1,0.5,NA,NA,NA,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","Pacific",NA,NA,6.5,3.8,4.4,2.4,3.5,NA,NA,0.2,0.9,0.7,0.5,NA,NA,NA,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","Asian",NA,NA,8.5,0.4,3.3,2.2,1.1,NA,NA,0.1,0.4,0.3,0.5,NA,NA,NA,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","European/Other",NA,NA,1.6,1.1,1.3,1.2,1.4,NA,NA,0.8,0.8,1,0.8,NA,NA,NA,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","Least (1-3)",NA,NA,1.4,0.2,0.2,0.3,0.7,NA,NA,0.4,0.3,0.3,0.4,NA,NA,NA,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","Mid (4-7)",NA,NA,4.2,1.6,2,2.1,2.4,NA,NA,0.3,0.6,0.8,0.8,NA,NA,NA,NA,NA
"ind_15","Gambling harm","Gamblers (PGSI) - moderate risk and problem","adults","Most (8-10)",NA,NA,3.8,1.9,3.8,2.1,2.6,NA,NA,0.4,0.5,0.5,0.6,NA,NA,NA,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Total",NA,9.1,7.4,5.7,2.7,3.1,6.8,NA,0.1,0.7,0.4,0,0,NA,NA,NA,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Men",NA,11.8,7.2,7.2,3.4,4.8,8.4,NA,0.2,0.6,0.6,0,0.1,NA,NA,NA,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Women",NA,6.5,7.6,4.3,2,1.5,5.3,NA,0.4,0.2,0.4,0,0,NA,NA,NA,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","15-24",NA,15.6,3.5,11.3,3,4.9,10.3,NA,0.5,0.3,0.9,0.3,0.4,NA,NA,NA,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","25-44",NA,10.1,8.3,5.7,3.6,3.2,7,NA,0.2,0.6,0.5,0.1,0,NA,NA,NA,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","45-64",NA,6.5,8,4,2.2,3.1,6.7,NA,0.9,0.6,0.1,0,0,NA,NA,NA,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","65+",NA,6,7.8,4.7,1.8,1.6,4.8,NA,0.6,0.3,1,0,0,NA,NA,NA,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Maori",NA,11.9,18.8,7.7,3.8,7,11.6,NA,0.9,0.1,0.2,0,0.1,NA,NA,NA,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Pacific",NA,11.8,10.7,7.1,6.6,4.4,7.3,NA,0.2,0.4,1,0.9,0.4,NA,NA,NA,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Asian",NA,8.7,7.6,5.8,4.8,4.2,12.7,NA,0.7,0.5,0.2,0.2,0.1,NA,NA,NA,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","European/Other",NA,8.4,6,5.5,1.9,2.8,5.4,NA,0.1,0.7,1,0,0,NA,NA,NA,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Least (1-3)",NA,6.7,3.1,2.3,1.4,1.4,7.1,NA,0.9,0.1,0,0,0,NA,NA,NA,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Mid (4-7)",NA,8.1,9.3,5.7,2.2,4,5.9,NA,0.4,0.2,0.9,0.1,0.4,NA,NA,NA,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Most (8-10)",NA,13.6,9.8,8.8,5.5,3.8,7.9,NA,0.1,0.4,0.8,0.4,0,NA,NA,NA,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Non-problem gambler",NA,NA,2.2,2.1,0.4,0.8,4.5,NA,NA,0,0,0,0,NA,NA,NA,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Low-risk gambler",NA,NA,39.6,55.9,14.2,15.3,6.4,NA,NA,0,0,0.1,0.1,NA,NA,NA,NA,NA
"ind_16","Gambling harm","Gambled more than intended","adults have gambled in the last 12 months","Moderate-risk or problem gambler",NA,NA,65.8,80.4,64.4,75,81.3,NA,NA,0.2,0.9,0.2,0.5,NA,NA,NA,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","Total",NA,6.3,6.6,10.8,5.5,5.6,6.8,NA,0.7,0.9,0,0.3,0.3,NA,NA,NA,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","Men",NA,4.8,5,9,5.5,4.9,7.3,NA,0.3,0.2,0.4,0.4,0.2,NA,NA,NA,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","Women",NA,7.6,8.1,12.6,5.5,6.3,6.3,NA,0.4,0.2,0,0.5,1,NA,NA,NA,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","15-24",NA,11.7,9,16.2,4.4,7.1,9.2,NA,0.7,1,0.1,0.2,0.6,NA,NA,NA,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","25-44",NA,6.9,7.9,13.2,7.4,7.1,8,NA,0.5,0.9,0,0.7,0.6,NA,NA,NA,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","45-64",NA,4.3,5.8,7.8,6.8,5.2,6.8,NA,0.1,0.6,0.6,1,0.3,NA,NA,NA,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","65+",NA,2.3,3,6.5,1.7,2.2,2.6,NA,0.9,0.8,0,0.3,0.7,NA,NA,NA,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","Maori",NA,17.3,15.5,29.4,10.6,15.6,15.5,NA,0.7,1,0,0.1,1,NA,NA,NA,NA,NA
"ind_17","Gambling harm","Household-level gambling harm","adults","Pacific",NA,18.8,17.7,18.3,11.6,9,12,NA,0.1,0.2,0.1,0.9,0.4,NA,NA,NA,NA,NA
